date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2022-10-03,SELL,PSUBNKBEES.NS,16064,32.32,519188.48,259.59424,519004.6080400003,32.52,-0.615
2022-10-03,BUY,PHARMABEES.NS,39062,13.28,518743.36,259.37168,1.8763600003439933,,
2022-10-10,SELL,CONSUMBEES.NS,5751,84.73,487282.23000000004,243.641115,487040.4652450004,85.65,-1.074
2022-10-10,BUY,SILVERBEES.NS,8357,58.25,486795.25,243.397625,1.8176200003945269,,
2022-10-17,SELL,SILVERBEES.NS,8357,55.52,463980.64,231.99032000000003,463750.4673000004,58.25,-4.687
2022-10-17,BUY,BANKBEES.NS,1148,403.65,463390.19999999995,231.69509999999997,128.57220000046073,,
2022-10-24,SELL,PHARMABEES.NS,39062,13.43,524602.66,262.30133,524468.9308700005,13.28,1.13
2022-10-24,BUY,PSUBNKBEES.NS,14099,37.18,524200.82,262.10041,6.010460000485182,,
2022-10-31,SELL,BANKBEES.NS,1148,417.25,479003.0,239.5015,478769.5089600005,403.65,3.369
2022-10-31,BUY,CPSEETF.NS,12592,38.0,478496.0,239.24800000000002,34.26096000045072,,
2022-11-14,SELL,CPSEETF.NS,12592,38.03,478873.76,239.43688,478668.58408000047,38.0,0.079
2022-11-14,BUY,SILVERBEES.NS,7823,61.15,478376.45,239.18822500000002,52.94585500046378,,
2022-11-28,SELL,SILVERBEES.NS,7823,61.44,480645.12,240.32256,480457.74329500046,61.15,0.474
2022-11-28,BUY,ITBEES.NS,15201,31.59,480199.59,240.09979500000003,18.053500000445638,,
2022-12-12,SELL,ITBEES.NS,15201,30.27,460134.27,230.067135,459922.25636500044,31.59,-4.179
2022-12-12,BUY,HNGSNGBEES.NS,1637,280.78,459636.8599999999,229.81842999999998,55.57793500053231,,
2022-12-26,SELL,PSUBNKBEES.NS,14099,46.44,654757.5599999999,327.37877999999995,654485.7591550004,37.18,24.906
2022-12-26,BUY,SILVERBEES.NS,9804,66.72,654122.88,327.06144,35.81771500047762,,
2023-01-02,SELL,SILVERBEES.NS,9804,67.67,663436.68,331.71834,663140.7793750005,66.72,1.424
2023-01-02,BUY,PSUBNKBEES.NS,13739,48.24,662769.36,331.38468,40.03469500050414,,
2023-01-16,SELL,PSUBNKBEES.NS,13739,48.19,662082.4099999999,331.041205,661791.4034900004,48.24,-0.104
2023-01-16,BUY,GOLDBEES.NS,13582,48.7,661443.4,330.7217,17.281790000386536,,
2023-01-30,SELL,GOLDBEES.NS,13582,48.77,662394.14,331.19707,662080.2247200004,48.7,0.144
2023-01-30,BUY,MAFANG.NS,15446,42.84,661706.64,330.85332,42.731400000397116,,
2023-02-13,SELL,HNGSNGBEES.NS,1637,309.27,506274.99,253.137495,506064.5839050004,280.78,10.147
2023-02-13,BUY,MON100.NS,5090,99.36,505742.4,252.87120000000002,69.31270500039682,,
2023-03-06,SELL,MON100.NS,5090,98.87,503248.30000000005,251.62415000000001,503065.98855500045,99.36,-0.493
2023-03-06,BUY,CPSEETF.NS,12415,40.5,502807.5,251.40375,7.084805000456981,,
2023-03-20,SELL,CPSEETF.NS,12415,39.7,492875.50000000006,246.43775000000002,492636.14705500053,40.5,-1.975
2023-03-20,BUY,MON100.NS,4898,100.52,492346.95999999996,246.17347999999998,43.01357500057202,,
2023-04-10,SELL,MON100.NS,4898,103.65,507677.7,253.83885,507466.8747250006,100.52,3.114
2023-04-10,BUY,SILVERBEES.NS,6925,73.24,507186.99999999994,253.59349999999998,26.281225000624545,,
2023-04-24,SELL,MAFANG.NS,15446,48.39,747431.9400000001,373.71597,747084.5052550007,42.84,12.955
2023-04-24,BUY,CPSEETF.NS,18181,41.07,746693.67,373.34683500000006,17.488420000649057,,
2023-05-02,SELL,CPSEETF.NS,18181,42.2,767238.2000000001,383.61910000000006,766872.0693200007,41.07,2.751
2023-05-02,BUY,PSUBNKBEES.NS,16544,46.33,766483.52,383.24176,5.307560000685044,,
2023-05-15,SELL,SILVERBEES.NS,6925,71.83,497422.75,248.711375,497179.3461850007,73.24,-1.925
