date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2022-02-28,SELL,CPSEETF.NS,12797,32.36,414110.92,207.05545999999998,413935.18159999984,31.4,3.057
2022-02-28,SELL,PSUBNKBEES.NS,15311,29.1,445550.10000000003,222.77505000000002,859262.5065499998,32.53,-10.544
2022-02-28,BUY,GOLDBEES.NS,9851,43.59,429405.09,214.70254500000001,429642.7140049998,,
2022-02-28,BUY,HNGSNGBEES.NS,1436,298.91,429234.76,214.61738,193.33662499976344,,
2022-03-07,SELL,HNGSNGBEES.NS,1436,289.84,416210.24,208.10512,416195.47150499973,298.91,-3.034
2022-03-07,BUY,CPSEETF.NS,12152,34.23,415962.95999999996,207.98147999999998,24.53002499975264,,
2022-03-21,SELL,CPSEETF.NS,12152,33.23,403810.95999999996,201.90547999999998,403633.5845449997,34.23,-2.921
2022-03-21,BUY,PHARMABEES.NS,29577,13.64,403430.28,201.71514000000002,1.5894049996859394,,
2022-03-28,SELL,PHARMABEES.NS,29577,13.63,403134.51,201.56725500000002,402934.5321499997,13.64,-0.073
2022-03-28,BUY,CPSEETF.NS,11841,34.01,402712.41,201.356205,20.765944999700878,,
2022-04-11,SELL,GOLDBEES.NS,9851,45.22,445462.22,222.73111,445260.2548349997,43.59,3.739
2022-04-11,BUY,JUNIORBEES.NS,960,463.53,444988.8,222.49439999999998,48.96043499966618,,
2022-04-18,SELL,JUNIORBEES.NS,960,455.58,437356.8,218.6784,437187.0820349997,463.53,-1.715
2022-04-18,BUY,MOM100.NS,13578,32.18,436940.04,218.47002,28.57201499969233,,
2022-04-25,SELL,MOM100.NS,13578,31.32,425262.96,212.63148,425078.90053499973,32.18,-2.672
2022-04-25,BUY,INFRABEES.NS,799,531.59,424740.41000000003,212.37020500000003,126.12032999971416,,
2022-05-02,SELL,CPSEETF.NS,11841,35.6,421539.60000000003,210.76980000000003,421454.95052999974,34.01,4.675
2022-05-02,BUY,CONSUMBEES.NS,5492,76.7,421236.4,210.61820000000003,7.93232999969041,,
2022-05-09,SELL,INFRABEES.NS,799,507.87,405788.13,202.894065,405593.1682649997,531.59,-4.462
2022-05-09,SELL,CONSUMBEES.NS,5492,72.22,396632.24,198.31612,802027.0921449997,76.7,-5.841
2022-05-09,BUY,CPSEETF.NS,11170,35.88,400779.60000000003,200.3898,401047.1023449996,,
2022-05-09,BUY,HNGSNGBEES.NS,1315,304.74,400733.10000000003,200.36655000000002,113.63579499960179,,
2022-05-16,SELL,HNGSNGBEES.NS,1315,299.62,394000.3,197.00015,393916.9356449996,304.74,-1.68
2022-05-16,BUY,LIQUIDBEES.NS,393,1000.0,393000.0,196.5,720.4356449996121,,
2022-05-30,SELL,CPSEETF.NS,11170,33.95,379221.50000000006,189.61075000000002,379752.3248949997,35.88,-5.379
2022-05-30,BUY,GOLDBEES.NS,8630,43.98,379547.39999999997,189.7737,15.151194999692962,,
2022-06-06,SELL,GOLDBEES.NS,8630,44.0,379720.0,189.86,379545.2911949997,43.98,0.045
2022-06-06,BUY,GILT5YBEES.NS,7812,48.56,379350.72000000003,189.67536,4.895834999682847,,
2022-06-13,SELL,GILT5YBEES.NS,7812,48.64,379975.68,189.98784,379790.58799499966,48.56,0.165
2022-06-13,BUY,HNGSNGBEES.NS,1250,303.58,379475.0,189.7375,125.85049499967135,,
2022-06-20,SELL,HNGSNGBEES.NS,1250,302.97,378712.50000000006,189.35625000000005,378648.9942449997,303.58,-0.201
2022-06-20,BUY,GOLDBEES.NS,8636,43.82,378429.52,189.21476,30.259484999696724,,
2022-06-27,SELL,GOLDBEES.NS,8636,43.87,378861.32,189.43066000000002,378702.1488249997,43.82,0.114
2022-06-27,BUY,GILT5YBEES.NS,7758,48.79,378512.82,189.25641000000002,0.07241499971132725,,
2022-07-04,SELL,GILT5YBEES.NS,7758,48.81,378667.98000000004,189.33399000000003,378478.71842499974,48.79,0.041
2022-07-04,SELL,LIQUIDBEES.NS,393,999.99,392996.07,196.49803500000002,771278.2903899997,1000.0,-0.001
2022-07-04,BUY,CONSUMBEES.NS,5150,74.83,385374.5,192.68725,385711.10313999973,,
2022-07-04,BUY,PSUBNKBEES.NS,14006,27.52,385445.12,192.72256000000002,73.2605799997109,,
2022-07-11,SELL,CONSUMBEES.NS,5150,78.04,401906.00000000006,200.95300000000003,401778.3075799998,74.83,4.29
2022-07-11,BUY,MAFANG.NS,9609,41.79,401560.11,200.780055,17.41752499982249,,
